                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.236,                 1.3782,                0.71225,                 0.5805,                 0.4402,                0.45893,                0.30906,                0.93657,                0.69642,                0.62071,               0.070186,              0.0033126,              0.0033126
                      1,                 1.1489,                0.85075,                 0.6736,                0.64758,                0.40573,                0.46668,                 0.3002,                0.99061,                0.70608,                0.63667,                0.04017,              0.0066293,              0.0066293
                      2,                 1.2085,                0.88248,                0.68692,                0.62878,                0.40429,                0.43487,                0.27177,                 1.0654,                 0.9487,                0.65717,               0.010136,              0.0099294,              0.0099294
                      3,                 1.2666,                0.89565,                0.70382,                 0.5996,                0.39484,                0.43051,                0.26471,                 1.1044,                0.72121,                0.66909,               0.009925,               0.009925,               0.009925
                      4,                 1.2577,                0.87025,                0.70665,                 0.5948,                0.33606,                0.37994,                0.22872,                 1.1518,                0.77789,                0.68991,               0.009925,               0.009925,               0.009925
                      5,                 1.2512,                0.85196,                0.70407,                0.52995,                0.37399,                0.39052,                0.23757,                 1.0958,                0.72723,                0.67271,                 0.0099,                 0.0099,                 0.0099
                      6,                 1.2509,                0.84879,                0.70777,                0.63123,                0.36877,                0.42258,                0.26218,                 1.0995,                0.74736,                0.67598,               0.009875,               0.009875,               0.009875
                      7,                 1.2199,                0.81667,                0.69979,                0.60078,                0.41464,                0.43809,                0.27205,                 1.0747,                0.68845,                0.66483,                0.00985,                0.00985,                0.00985
                      8,                 1.2208,                0.80642,                0.69644,                  0.672,                0.36809,                0.43121,                0.26765,                 1.0692,                0.69329,                0.66017,               0.009825,               0.009825,               0.009825
                      9,                 1.2124,                0.80754,                0.69359,                0.66377,                0.39783,                0.45356,                0.27459,                 1.0833,                0.67686,                0.66584,                 0.0098,                 0.0098,                 0.0098
                     10,                 1.2017,                0.78747,                0.69087,                0.65706,                0.42593,                0.44677,                0.27385,                  1.069,                0.68127,                 0.6642,               0.009775,               0.009775,               0.009775
                     11,                 1.1845,                0.77841,                0.69002,                0.63903,                0.43286,                0.46712,                0.28433,                 1.0515,                0.65644,                0.65797,                0.00975,                0.00975,                0.00975
                     12,                 1.1762,                0.76821,                0.68557,                0.67795,                0.39867,                0.46202,                0.29103,                 1.0639,                0.66871,                0.66144,               0.009725,               0.009725,               0.009725
                     13,                 1.1625,                0.75603,                0.68691,                0.67614,                0.41276,                0.45102,                0.28364,                 1.0542,                0.67084,                0.65637,                 0.0097,                 0.0097,                 0.0097
                     14,                 1.1615,                0.75537,                0.68305,                0.71573,                0.39562,                0.45867,                0.28736,                 1.0443,                0.65581,                0.65993,               0.009675,               0.009675,               0.009675
                     15,                 1.1511,                0.74373,                0.68181,                0.65565,                0.41012,                0.44399,                0.28152,                 1.0231,                0.64984,                0.65074,                0.00965,                0.00965,                0.00965
                     16,                 1.1422,                 0.7402,                0.68063,                0.63355,                0.42533,                 0.4582,                0.28363,                 1.0389,                0.64978,                0.65633,               0.009625,               0.009625,               0.009625
                     17,                 1.1341,                0.72892,                0.67782,                0.62173,                0.40874,                0.43851,                0.27908,                 1.0305,                0.64576,                0.65568,                 0.0096,                 0.0096,                 0.0096
                     18,                 1.1225,                0.72294,                0.67453,                0.62782,                  0.412,                0.44992,                 0.2855,                  1.035,                0.65687,                0.65656,               0.009575,               0.009575,               0.009575
                     19,                 1.1328,                0.72498,                0.67312,                0.63421,                0.39466,                0.45318,                0.28793,                 1.0305,                0.64268,                0.65331,                0.00955,                0.00955,                0.00955
                     20,                 1.1202,                0.71138,                0.67449,                0.64538,                0.43717,                0.47779,                0.29719,                 1.0072,                0.62023,                  0.652,               0.009525,               0.009525,               0.009525
                     21,                  1.113,                 0.7107,                0.67072,                0.61111,                0.45704,                0.47074,                0.29173,                 1.0073,                0.63225,                0.65138,                 0.0095,                 0.0095,                 0.0095
                     22,                  1.107,                0.70739,                0.67046,                0.57871,                0.45395,                0.47688,                0.30105,                 1.0145,                0.62129,                0.65364,               0.009475,               0.009475,               0.009475
                     23,                 1.1012,                0.70184,                0.66887,                0.70205,                0.43029,                0.48082,                 0.2987,                 1.0219,                0.63225,                0.65218,                0.00945,                0.00945,                0.00945
                     24,                 1.1046,                 0.6999,                0.66642,                0.67372,                0.42418,                0.47645,                0.30422,                0.99944,                0.62023,                0.64675,               0.009425,               0.009425,               0.009425
                     25,                 1.1029,                0.69656,                0.66663,                0.66444,                0.43449,                0.48019,                0.30937,                0.99752,                0.62071,                0.64612,                 0.0094,                 0.0094,                 0.0094
                     26,                 1.0869,                0.68918,                0.66333,                0.61035,                0.43934,                0.48315,                0.30728,                 1.0086,                0.62892,                0.64977,               0.009375,               0.009375,               0.009375
                     27,                 1.0857,                0.68664,                0.66382,                0.68499,                0.42901,                 0.4819,                0.30409,                 1.0005,                0.62029,                  0.645,                0.00935,                0.00935,                0.00935
                     28,                 1.0786,                0.67495,                0.66047,                0.67706,                0.46203,                0.49054,                0.31205,                0.99129,                0.60477,                0.64535,               0.009325,               0.009325,               0.009325
                     29,                 1.0691,                0.67361,                0.66005,                0.63292,                0.42509,                0.46807,                 0.2956,                0.99778,                 0.6134,                0.64583,                 0.0093,                 0.0093,                 0.0093
                     30,                 1.0654,                0.66802,                0.65879,                0.64409,                0.46297,                 0.4968,                0.31702,                0.99441,                  0.613,                0.64542,               0.009275,               0.009275,               0.009275
                     31,                 1.0727,                0.67289,                0.65956,                0.61869,                0.44353,                0.47993,                0.30282,                 0.9833,                0.60312,                0.64034,                0.00925,                0.00925,                0.00925
                     32,                 1.0522,                0.65827,                0.65714,                0.69236,                0.42467,                0.47155,                0.30916,                0.99271,                0.60967,                0.64346,               0.009225,               0.009225,               0.009225
                     33,                 1.0587,                0.66077,                0.65949,                0.66701,                0.42818,                0.49185,                0.31006,                 0.9821,                0.59108,                0.64588,                 0.0092,                 0.0092,                 0.0092
                     34,                 1.0613,                0.66297,                0.65773,                0.71527,                0.43738,                0.49537,                0.31835,                0.98489,                0.59829,                0.64408,               0.009175,               0.009175,               0.009175
                     35,                 1.0547,                0.65655,                0.65615,                0.60365,                0.45869,                0.49274,                0.30918,                0.98062,                0.60197,                0.64083,                0.00915,                0.00915,                0.00915
                     36,                 1.0537,                0.65443,                0.65778,                 0.6869,                0.47208,                0.51671,                0.32812,                 0.9737,                0.59761,                 0.6392,               0.009125,               0.009125,               0.009125
                     37,                 1.0439,                0.64726,                0.65382,                0.66568,                  0.485,                0.52845,                0.32517,                0.97955,                0.58739,                0.64193,                 0.0091,                 0.0091,                 0.0091
                     38,                 1.0467,                0.64842,                0.65346,                0.63294,                0.46945,                0.49508,                0.31865,                0.97387,                0.59561,                0.63914,               0.009075,               0.009075,               0.009075
                     39,                 1.0309,                0.63926,                0.65114,                0.67554,                0.48241,                0.51775,                0.32412,                0.97442,                0.59378,                0.64129,                0.00905,                0.00905,                0.00905
                     40,                 1.0378,                0.63922,                 0.6523,                0.73931,                0.47288,                0.51033,                0.32515,                0.97436,                0.59632,                0.64409,               0.009025,               0.009025,               0.009025
                     41,                 1.0241,                0.63594,                0.64989,                0.66552,                0.46806,                0.51331,                0.31881,                0.97326,                0.59006,                0.63963,                  0.009,                  0.009,                  0.009
                     42,                 1.0307,                0.63475,                0.64996,                0.73023,                0.45557,                0.52845,                0.34329,                0.96838,                0.58616,                0.63836,               0.008975,               0.008975,               0.008975
                     43,                 1.0218,                0.63439,                 0.6467,                0.70419,                0.44924,                0.52027,                0.32781,                 0.9693,                0.58279,                0.64301,                0.00895,                0.00895,                0.00895
                     44,                 1.0301,                0.63279,                0.64972,                0.72758,                0.45046,                0.51068,                 0.3229,                0.95764,                0.58692,                 0.6381,               0.008925,               0.008925,               0.008925
                     45,                 1.0296,                0.63164,                0.64644,                0.72408,                0.44746,                0.52317,                0.32616,                0.95652,                0.57579,                0.63866,                 0.0089,                 0.0089,                 0.0089
                     46,                 1.0179,                0.62742,                0.64476,                0.73786,                0.47248,                0.52605,                0.32808,                0.96288,                0.58798,                0.64008,               0.008875,               0.008875,               0.008875
                     47,                 1.0154,                  0.624,                0.64611,                0.69207,                 0.4643,                0.51362,                0.32985,                0.94858,                0.57597,                0.63764,                0.00885,                0.00885,                0.00885
                     48,                 1.0197,                 0.6258,                 0.6484,                0.62946,                0.49105,                0.51582,                0.32959,                  0.958,                0.57899,                0.63764,               0.008825,               0.008825,               0.008825
                     49,                 1.0109,                0.61655,                 0.6449,                0.72211,                0.46604,                0.52329,                0.33187,                 0.9579,                 0.5786,                0.63725,                 0.0088,                 0.0088,                 0.0088
                     50,                 1.0073,                0.61469,                0.64223,                0.66462,                0.46993,                0.51096,                0.32909,                0.94749,                0.57878,                0.63622,               0.008775,               0.008775,               0.008775
                     51,                  1.009,                0.61696,                0.64582,                0.69467,                 0.4792,                0.52207,                 0.3289,                 0.9454,                0.57671,                0.63767,                0.00875,                0.00875,                0.00875
                     52,                 1.0128,                0.61673,                0.64305,                0.73444,                0.45408,                0.52899,                0.34337,                0.94951,                0.57732,                0.63785,               0.008725,               0.008725,               0.008725
                     53,                 1.0094,                0.61419,                0.64217,                0.66184,                0.43432,                0.50319,                 0.3279,                0.95057,                 0.5709,                0.63438,                 0.0087,                 0.0087,                 0.0087
                     54,                 1.0001,                  0.612,                0.63887,                0.58486,                0.50711,                0.51188,                0.32476,                 0.9456,                0.57536,                0.63345,               0.008675,               0.008675,               0.008675
                     55,                0.99863,                0.60788,                0.64078,                0.57662,                0.48391,                0.49552,                0.32148,                0.94351,                0.56913,                0.63687,                0.00865,                0.00865,                0.00865
                     56,                0.99483,                0.60293,                0.63876,                0.64599,                0.45394,                0.49777,                0.32402,                0.95259,                0.57226,                0.63621,               0.008625,               0.008625,               0.008625
                     57,                0.99909,                0.60437,                 0.6399,                0.67756,                0.45817,                0.50294,                0.32837,                0.95084,                0.57377,                0.63679,                 0.0086,                 0.0086,                 0.0086
